algorithmName,mazeSize,runIndex,seed,pathFound,pathLength,nodesExplored,executionTimeNs,executionTimeMs,memoryUsedBytes,pathEfficiency
Breadth-First Search,50,8,50,true,591,1776,17048019,17.0480,1048576,0.3328
A* (Manhattan),50,8,50,true,591,1742,17850752,17.8508,1048576,0.3393
A* (Euclidean),50,8,50,true,591,1742,18488314,18.4883,1048576,0.3393
Q-Learning,50,8,50,true,591,590,987745,0.9877,524288,1.0017
Depth-First Search,50,9,51,true,505,2272,8434812,8.4348,1048576,0.2223
Breadth-First Search,50,9,51,true,505,1941,27229658,27.2297,1048576,0.2602
A* (Manhattan),50,9,51,true,505,1941,31992418,31.9924,1005376,0.2602
A* (Euclidean),50,9,51,true,505,1941,34463770,34.4638,1021776,0.2602
Q-Learning,50,9,51,true,505,504,563543,0.5635,524288,1.0020
Depth-First Search,100,0,42,true,2121,5259,6822870,6.8229,1572864,0.4033
Breadth-First Search,100,0,42,true,2121,7675,35891211,35.8912,3145728,0.2764
A* (Manhattan),100,0,42,true,2121,7583,37311907,37.3119,4124072,0.2797
A* (Euclidean),100,0,42,true,2121,7596,33060182,33.0602,4124056,0.2792
Q-Learning,100,0,42,false,0,2,42382,0.0424,0,0.0000
Depth-First Search,100,1,43,true,2201,4226,3911444,3.9114,1572864,0.5208
Breadth-First Search,100,1,43,true,2201,6199,23631221,23.6312,2621440,0.3551
A* (Manhattan),100,1,43,true,2201,5982,29731286,29.7313,3145728,0.3679
A* (Euclidean),100,1,43,true,2201,6054,25607687,25.6077,3145728,0.3636
Q-Learning,100,1,43,false,0,2,46518,0.0465,0,0.0000
Depth-First Search,100,2,44,true,2021,6285,5369288,5.3693,2621440,0.3216
Breadth-First Search,100,2,44,true,2021,8791,22809838,22.8098,3145728,0.2299
A* (Manhattan),100,2,44,true,2021,8644,28459633,28.4596,4529464,0.2338
A* (Euclidean),100,2,44,true,2021,8663,28471101,28.4711,4424728,0.2333
Q-Learning,100,2,44,false,0,2,61825,0.0618,0,0.0000
Depth-First Search,100,3,45,true,2573,3235,3217735,3.2177,1572864,0.7954
Breadth-First Search,100,3,45,true,2573,7985,22169979,22.1700,3145728,0.3222
A* (Manhattan),100,3,45,true,2573,7506,28066551,28.0666,3896176,0.3428
A* (Euclidean),100,3,45,true,2573,7621,25184854,25.1849,3999240,0.3376
Q-Learning,100,3,45,false,0,2,44473,0.0445,0,0.0000
Depth-First Search,100,4,46,true,2283,4434,4066602,4.0666,1597864,0.5149
Breadth-First Search,100,4,46,true,2283,7948,19625187,19.6252,3145728,0.2872
A* (Manhattan),100,4,46,true,2283,7860,25449783,25.4498,4194304,0.2905
A* (Euclidean),100,4,46,true,2283,7866,25436362,25.4364,4170504,0.2902
Q-Learning,100,4,46,false,0,3,47751,0.0478,0,0.0000
Depth-First Search,100,5,47,true,2409,7938,6761881,6.7619,3145728,0.3035
Breadth-First Search,100,5,47,true,2409,5854,22423567,22.4236,2097152,0.4115
A* (Manhattan),100,5,47,true,2409,5750,28817106,28.8171,3145728,0.4190
A* (Euclidean),100,5,47,true,2409,5763,25660251,25.6603,3111560,0.4180
Q-Learning,100,5,47,false,0,2,45989,0.0460,0,0.0000
Depth-First Search,100,6,48,true,2481,8887,4992422,4.9924,3145728,0.2792
Breadth-First Search,100,6,48,true,2481,7077,21540004,21.5400,2621440,0.3506
A* (Manhattan),100,6,48,true,2481,7049,25054108,25.0541,3834216,0.3520
A* (Euclidean),100,6,48,true,2481,7052,23027290,23.0273,3834232,0.3518
Q-Learning,100,6,48,false,0,2,45118,0.0451,0,0.0000
Depth-First Search,100,7,49,true,2315,8462,4914122,4.9141,2621440,0.2736
Breadth-First Search,100,7,49,true,2315,7866,20783024,20.7830,3145728,0.2943
A* (Manhattan),100,7,49,true,2315,7736,29943534,29.9435,4194304,0.2993
A* (Euclidean),100,7,49,true,2315,7778,28122597,28.1226,4002928,0.2976
Q-Learning,100,7,49,false,0,2,43217,0.0432,0,0.0000
Depth-First Search,100,8,50,true,1179,6410,3336578,3.3366,2097152,0.1839
Breadth-First Search,100,8,50,true,1179,6626,19078651,19.0787,2621440,0.1779
A* (Manhattan),100,8,50,true,1179,6376,22994546,22.9945,3563960,0.1849
A* (Euclidean),100,8,50,true,1179,6426,23922295,23.9223,3499736,0.1835
Q-Learning,100,8,50,false,0,2,45269,0.0453,0,0.0000
Depth-First Search,100,9,51,true,857,2650,1122346,1.1223,1048576,0.3234
Breadth-First Search,100,9,51,true,857,5097,18158533,18.1585,2097152,0.1681
A* (Manhattan),100,9,51,true,857,4766,23563471,23.5635,2431272,0.1798
A* (Euclidean),100,9,51,true,857,4852,20415966,20.4160,2684072,0.1766
Q-Learning,100,9,51,false,0,2,44326,0.0443,0,0.0000
